x,y
0,3.814697265625e-06
1,4.76837158203125e-06
2,5.9604644775390625e-06
3,5.9604644775390625e-06
4,7.152557373046875e-06
5,7.867813110351562e-06
6,8.821487426757812e-06
7,9.775161743164062e-06
8,1.0013580322265625e-05
9,1.0967254638671875e-05
10,1.1920928955078125e-05
11,1.1682510375976562e-05
12,1.3828277587890625e-05
13,1.3828277587890625e-05
14,1.5020370483398438e-05
15,1.5735626220703125e-05
16,1.6689300537109375e-05
17,1.7881393432617188e-05
18,1.7881393432617188e-05
19,1.9073486328125e-05
20,2.002716064453125e-05
21,2.09808349609375e-05
22,2.193450927734375e-05
23,2.288818359375e-05
24,2.288818359375e-05
25,2.384185791015625e-05
26,2.47955322265625e-05
27,2.574920654296875e-05
28,2.6226043701171875e-05
29,2.6702880859375e-05
30,2.7894973754882812e-05
31,2.8848648071289062e-05
32,2.8848648071289062e-05
33,2.9802322387695312e-05
34,3.0994415283203125e-05
35,3.1948089599609375e-05
36,3.266334533691406e-05
37,3.314018249511719e-05
38,3.361701965332031e-05
39,3.4809112548828125e-05
40,3.5762786865234375e-05
41,3.6716461181640625e-05
42,3.695487976074219e-05
43,3.981590270996094e-05
44,4.00543212890625e-05
45,4.076957702636719e-05
46,4.100799560546875e-05
47,4.1961669921875e-05
48,4.315376281738281e-05
49,4.38690185546875e-05
50,4.482269287109375e-05
51,4.57763671875e-05
52,4.601478576660156e-05
53,4.696846008300781e-05
54,4.76837158203125e-05
55,4.887580871582031e-05
56,4.982948303222656e-05
57,4.982948303222656e-05
58,5.078315734863281e-05
59,5.1975250244140625e-05
60,5.2928924560546875e-05
61,5.3882598876953125e-05
62,5.412101745605469e-05
63,5.4836273193359375e-05
64,5.5789947509765625e-05
65,5.698204040527344e-05
66,5.7697296142578125e-05
67,5.817413330078125e-05
68,5.936622619628906e-05
69,6.008148193359375e-05
70,6.079673767089844e-05
71,6.175041198730469e-05
72,6.29425048828125e-05
73,6.29425048828125e-05
74,6.389617919921875e-05
75,6.389617919921875e-05
76,6.604194641113281e-05
77,6.723403930664062e-05
78,6.771087646484375e-05
79,6.771087646484375e-05
80,6.890296936035156e-05
81,6.890296936035156e-05
82,6.985664367675781e-05
83,7.104873657226562e-05
84,7.176399230957031e-05
85,7.200241088867188e-05
86,7.390975952148438e-05
87,7.414817810058594e-05
88,7.486343383789062e-05
89,7.605552673339844e-05
90,7.700920104980469e-05
91,7.677078247070312e-05
92,7.796287536621094e-05
93,7.915496826171875e-05
94,8.106231689453125e-05
95,8.177757263183594e-05
96,7.987022399902344e-05
97,8.106231689453125e-05
98,8.177757263183594e-05
99,8.392333984375e-05
100,8.487701416015625e-05
101,8.58306884765625e-05
102,8.678436279296875e-05
103,8.7738037109375e-05
104,8.702278137207031e-05
105,8.797645568847656e-05
106,8.797645568847656e-05
107,8.916854858398438e-05
108,9.083747863769531e-05
109,9.298324584960938e-05
110,9.393692016601562e-05
111,9.274482727050781e-05
112,9.393692016601562e-05
113,9.703636169433594e-05
114,9.584426879882812e-05
115,9.703636169433594e-05
116,9.775161743164062e-05
117,9.894371032714844e-05
118,9.894371032714844e-05
119,9.965896606445312e-05
120,0.00010085105895996094
121,0.00010204315185546875
122,0.00010204315185546875
123,0.00010704994201660156
124,0.00010395050048828125
125,0.00010514259338378906
126,0.00010704994201660156
127,0.0001068115234375
128,0.00010704994201660156
129,0.00010800361633300781
130,0.0001087188720703125
131,0.00011229515075683594
132,0.00011181831359863281
133,0.00011277198791503906
134,0.00011277198791503906
135,0.00011396408081054688
136,0.00011491775512695312
137,0.00011610984802246094
138,0.00011587142944335938
139,0.00011706352233886719
140,0.00011801719665527344
141,0.00011897087097167969
142,0.00011897087097167969
143,0.00012063980102539062
144,0.00012111663818359375
145,0.00012183189392089844
146,0.0001220703125
147,0.00012302398681640625
148,0.00012373924255371094
149,0.00012683868408203125
150,0.000125885009765625
151,0.000125885009765625
152,0.00012493133544921875
153,0.000125885009765625
154,0.000125885009765625
155,0.0001270771026611328
156,0.00013017654418945312
157,0.0001308917999267578
158,0.00013303756713867188
159,0.00013208389282226562
160,0.0001327991485595703
161,0.00013208389282226562
162,0.00013303756713867188
163,0.00013303756713867188
164,0.0001342296600341797
165,0.00013494491577148438
166,0.00013589859008789062
167,0.00013899803161621094
168,0.00013709068298339844
169,0.0001380443572998047
170,0.00013899803161621094
171,0.00014019012451171875
172,0.00014209747314453125
173,0.00014209747314453125
174,0.00014209747314453125
175,0.0001430511474609375
176,0.00014400482177734375
177,0.00014519691467285156
178,0.00014901161193847656
179,0.00014901161193847656
180,0.00014901161193847656
181,0.0001518726348876953
182,0.00015282630920410156
183,0.00015306472778320312
184,0.00015282630920410156
185,0.0001583099365234375
186,0.0001537799835205078
187,0.00015497207641601562
188,0.00015592575073242188
189,0.0001571178436279297
190,0.00015783309936523438
191,0.00015807151794433594
192,0.00016045570373535156
193,0.00015997886657714844
194,0.00015997886657714844
195,0.00016188621520996094
196,0.00016164779663085938
197,0.00016307830810546875
198,0.00016379356384277344
199,0.0001659393310546875
200,0.00016498565673828125
201,0.00016689300537109375
202,0.0001671314239501953
203,0.00017213821411132812
204,0.00014901161193847656
205,0.00014710426330566406
206,0.0001480579376220703
207,0.00014901161193847656
208,0.0001499652862548828
209,0.0001499652862548828
210,0.00015163421630859375
211,0.00015091896057128906
212,0.00015163421630859375
213,0.00015473365783691406
214,0.00015425682067871094
215,0.00015687942504882812
216,0.00015687942504882812
217,0.00015616416931152344
218,0.00015687942504882812
219,0.00015735626220703125
220,0.0001590251922607422
221,0.00016379356384277344
222,0.00015997886657714844
223,0.00015997886657714844
224,0.00016117095947265625
225,0.0001609325408935547
226,0.0001621246337890625
227,0.00016307830810546875
228,0.00016379356384277344
229,0.000164031982421875
230,0.00016689300537109375
231,0.00016498565673828125
232,0.00016689300537109375
233,0.00016689300537109375
234,0.0001678466796875
235,0.00016808509826660156
236,0.00016927719116210938
237,0.00017189979553222656
238,0.0001709461212158203
239,0.00017714500427246094
240,0.00017189979553222656
241,0.00017261505126953125
242,0.00017499923706054688
243,0.00017499923706054688
244,0.00017499923706054688
245,0.0001773834228515625
246,0.00017595291137695312
247,0.00017714500427246094
248,0.0001780986785888672
249,0.00017881393432617188
250,0.00018095970153808594
251,0.0001819133758544922
252,0.0001800060272216797
253,0.00018095970153808594
254,0.00018310546875
255,0.00018215179443359375
256,0.00018286705017089844
257,0.0001900196075439453
258,0.00018787384033203125
259,0.00018787384033203125
260,0.00018715858459472656
261,0.00018978118896484375
262,0.0001881122589111328
263,0.0001888275146484375
264,0.00018906593322753906
265,0.00018978118896484375
266,0.0001919269561767578
267,0.00019216537475585938
268,0.00019288063049316406
269,0.00019598007202148438
270,0.0001990795135498047
271,0.00019788742065429688
272,0.0001971721649169922
273,0.00019693374633789062
274,0.0001971721649169922
275,0.00020599365234375
276,0.00019884109497070312
277,0.00020194053649902344
278,0.00019979476928710938
279,0.0002009868621826172
280,0.00020241737365722656
281,0.00020194053649902344
282,0.00020503997802734375
283,0.00020575523376464844
284,0.0002067089080810547
285,0.00020599365234375
286,0.0002090930938720703
287,0.00020623207092285156
288,0.0002110004425048828
289,0.00020813941955566406
290,0.00020885467529296875
291,0.00021195411682128906
292,0.0002110004425048828
293,0.00021982192993164062
294,0.00021505355834960938
295,0.00021409988403320312
296,0.0002129077911376953
297,0.00021600723266601562
298,0.00021791458129882812
299,0.00021505355834960938
300,0.00021910667419433594
301,0.00021696090698242188
302,0.00021982192993164062
303,0.00021791458129882812
304,0.00021910667419433594
305,0.0002219676971435547
306,0.00022077560424804688
307,0.00022411346435546875
308,0.00022411346435546875
309,0.00022292137145996094
310,0.00022411346435546875
311,0.0002319812774658203
312,0.0002288818359375
313,0.0002288818359375
314,0.00022673606872558594
315,0.00023293495178222656
316,0.00022792816162109375
317,0.00023174285888671875
318,0.00022912025451660156
319,0.00023293495178222656
320,0.0002338886260986328
321,0.0002319812774658203
322,0.00023293495178222656
323,0.00023293495178222656
324,0.00023698806762695312
325,0.00023698806762695312
326,0.00023889541625976562
327,0.00023674964904785156
328,0.00024080276489257812
329,0.000244140625
330,0.0002410411834716797
331,0.00023984909057617188
332,0.00024390220642089844
333,0.00024080276489257812
334,0.0002448558807373047
335,0.00024700164794921875
336,0.0002460479736328125
337,0.00024700164794921875
338,0.0002460479736328125
339,0.0002448558807373047
340,0.0002460479736328125
341,0.0002491474151611328
342,0.00024890899658203125
343,0.00025010108947753906
344,0.00024890899658203125
345,0.0002491474151611328
346,0.00025177001953125
347,0.00025916099548339844
348,0.00025177001953125
349,0.0002560615539550781
350,0.0002529621124267578
351,0.00025582313537597656
352,0.0002548694610595703
353,0.0002601146697998047
354,0.000263214111328125
355,0.0002598762512207031
356,0.0002617835998535156
357,0.0002579689025878906
358,0.0002608299255371094
359,0.0002601146697998047
360,0.00026106834411621094
361,0.00026488304138183594
362,0.00026297569274902344
363,0.00026702880859375
364,0.0002639293670654297
365,0.0002727508544921875
366,0.00026798248291015625
367,0.00026798248291015625
368,0.0002651214599609375
369,0.0002677440643310547
370,0.000270843505859375
371,0.000270843505859375
372,0.00027489662170410156
373,0.0002727508544921875
374,0.00027108192443847656
375,0.00027179718017578125
376,0.00027489662170410156
377,0.0002770423889160156
378,0.0002741813659667969
379,0.00027489662170410156
380,0.00027370452880859375
381,0.0002810955047607422
382,0.00028014183044433594
383,0.0002868175506591797
384,0.0002789497375488281
385,0.00028014183044433594
386,0.0002789497375488281
387,0.0002810955047607422
388,0.00028586387634277344
389,0.00028586387634277344
390,0.0002818107604980469
391,0.0002880096435546875
392,0.000286102294921875
393,0.00028896331787109375
394,0.00028586387634277344
395,0.00029087066650390625
396,0.00028896331787109375
397,0.0002911090850830078
398,0.0002930164337158203
399,0.0002911090850830078
400,0.0002892017364501953
401,0.0002989768981933594
402,0.00029587745666503906
403,0.00029397010803222656
404,0.0002989768981933594
405,0.0002980232238769531
406,0.0002989768981933594
407,0.000293731689453125
408,0.0002951622009277344
409,0.0003001689910888672
410,0.0003027915954589844
411,0.0003020763397216797
412,0.0002980232238769531
413,0.00030112266540527344
414,0.0003039836883544922
415,0.0003008842468261719
416,0.0003020763397216797
417,0.00030517578125
418,0.0003037452697753906
419,0.00031495094299316406
420,0.00030493736267089844
421,0.000308990478515625
422,0.0003058910369873047
423,0.00031185150146484375
424,0.00031280517578125
425,0.0003082752227783203
426,0.00030803680419921875
427,0.00030994415283203125
428,0.0003120899200439453
429,0.0003116130828857422
430,0.00031304359436035156
431,0.00031185150146484375
432,0.0003159046173095703
433,0.0003151893615722656
434,0.00031375885009765625
435,0.0003173351287841797
436,0.00032782554626464844
437,0.0003211498260498047
438,0.00031685829162597656
439,0.0003178119659423828
440,0.0003228187561035156
441,0.0003249645233154297
442,0.0003209114074707031
443,0.00032401084899902344
444,0.00032901763916015625
445,0.00032591819763183594
446,0.00032210350036621094
447,0.0003268718719482422
448,0.00032520294189453125
449,0.00032520294189453125
450,0.00033211708068847656
451,0.0003292560577392578
452,0.00033164024353027344
453,0.00033283233642578125
454,0.00033092498779296875
455,0.00034308433532714844
456,0.0003361701965332031
457,0.00033092498779296875
458,0.0003368854522705078
459,0.0003368854522705078
460,0.0003352165222167969
461,0.00033402442932128906
462,0.0003349781036376953
463,0.00033736228942871094
464,0.00033783912658691406
465,0.0003421306610107422
466,0.0003383159637451172
467,0.00033783912658691406
468,0.0003447532653808594
469,0.00033974647521972656
470,0.0003409385681152344
471,0.0003409385681152344
472,0.00034308433532714844
473,0.0003571510314941406
474,0.0003440380096435547
475,0.00034689903259277344
476,0.000347137451171875
477,0.0003457069396972656
478,0.0003459453582763672
479,0.00035381317138671875
480,0.0003509521484375
481,0.0003478527069091797
482,0.00034999847412109375
483,0.000354766845703125
484,0.0003509521484375
485,0.00035309791564941406
486,0.00035881996154785156
487,0.0003559589385986328
488,0.0003540515899658203
489,0.0003609657287597656
490,0.0003619194030761719
491,0.00036978721618652344
492,0.0003650188446044922
493,0.0003628730773925781
494,0.00035691261291503906
